"ml_slopes_e","X.Intercept.","ml_slopes_m","X.Intercept..1"
-0.70724241495459,7.00257759329221,-0.443429237564825,6.3780568719176
-0.523936058691113,5.99453004123258,-0.652334951713225,3.92846823036227
-0.112447039424095,3.12543841800908,-0.360146913039591,5.51012707318045
-0.298523504554465,3.95074061504912,-0.814496947741325,4.50705114237513
-0.0797546347535462,5.15684266021312,-0.42180193748082,4.0181759200885
-0.00173295048815937,3.33937044603408,-0.290806619446478,5.7597201479439
-0.474631244198355,4.89949540686943,-0.264266154159717,2.22040763304849
-0.333305179070922,5.28237949168735,-0.525365328656367,5.03553886671746
-0.312058891879148,4.77651925309939,-1.66819129917964,12.2238404676702
-0.760083534668413,4.16097665948968,-1.56676821335578,6.75188282443036
-0.192778177828265,3.06122748293288,-0.259135566596559,6.45875664685911
-0.449488339054817,4.00193948046761,-1.0345855871593,4.79260497485768
-0.470536861689223,10.5382996207727,-0.850898918484839,14.8939003144393
-0.0699373381028488,5.25063502819297,-1.00661569779864,9.35244337126757
-0.873968621737183,5.04975889423873,-5.3162370670693,18.4000876880466
-0.199590882902923,4.89644417060071,-0.770872550370254,7.34271728226372
-0.147523899297377,3.27717320511993,-0.297567187763018,5.18715764284252
0.0457687470640162,5.90555183879281,-0.0562227181643603,7.86892621026928
-0.827995404607242,4.20820389724236,-0.650602884937808,5.24267627305809
-0.185073387548419,2.42573900369241,-0.378237953061425,3.85217801988848
-0.25127908083931,3.76096443639715,-1.63170480819117,5.4637409124516
-0.0567491568083025,4.15143191546448,-0.966488598915839,7.32689996099799
