condition,coherence,s1,s2,s3,s4,s5,r1,r2,r3,r4,r5,decision
1,0.72,1,1,0,1,1,1,0,1,1,0,1
1,0.72,0,1,1,1,1,1,1,1,1,0,1
1,0.28,1,0,1,0,0,1,0,0,1,0,1
1,0.72,1,0,1,1,1,1,1,1,1,0,1
1,0.72,1,0,1,1,0,1,1,1,0,1,1
1,0.28,0,0,0,0,1,1,1,0,1,0,0
1,0.72,0,0,1,1,1,1,1,1,1,0,0
1,0.28,1,0,0,1,0,0,0,1,0,0,0
1,0.72,0,1,1,1,1,0,1,1,1,1,0
1,0.72,1,1,1,1,0,0,1,1,1,1,0
1,0.72,1,0,1,1,0,1,0,1,1,0,1
1,0.72,1,1,1,1,1,1,1,1,1,1,1
1,0.72,0,1,1,1,1,1,1,1,1,0,1
1,0.72,0,1,0,1,1,1,1,0,1,0,0
1,0.28,1,0,0,0,0,0,0,0,0,1,1
1,0.28,1,0,0,0,0,0,0,0,0,0,0
1,0.28,0,0,0,1,1,0,1,1,1,0,0
1,0.72,1,0,1,1,1,1,1,1,1,1,1
1,0.28,0,1,0,1,0,1,0,1,0,1,0
1,0.28,0,0,1,0,1,0,1,0,1,0,0
1,0.28,1,1,0,0,0,0,0,0,1,1,1
1,0.28,0,0,1,0,0,0,1,0,0,1,0
1,0.72,1,1,1,0,1,1,1,1,0,1,1
1,0.28,0,1,0,0,0,0,0,0,0,0,0
1,0.72,1,1,1,1,1,1,1,1,1,1,1
1,0.72,0,1,1,1,1,1,1,1,1,0,1
2,0.5,1,0,0,0,0,0,0,0,0,1,0
2,0.5,0,0,1,0,1,1,0,1,0,0,0
2,0.5,1,1,1,1,0,1,0,1,1,1,1
2,0.5,1,1,1,0,0,0,0,1,1,1,1
2,0.5,0,1,1,1,1,0,1,1,1,1,0
2,0.5,1,1,1,1,1,1,1,1,1,1,1
2,0.5,0,0,1,0,1,0,1,0,1,0,0
2,0.5,1,1,0,1,1,1,1,0,1,1,1
2,0.5,1,1,0,0,0,0,0,0,1,1,0
2,0.5,0,0,1,1,1,1,1,1,1,0,1
2,0.5,1,0,0,1,0,0,1,0,0,1,0
2,0.5,1,1,0,1,1,1,1,0,1,1,0
2,0.5,0,1,1,0,0,0,0,1,1,0,0
2,0.5,0,1,1,0,1,1,0,1,1,0,1
2,0.5,0,0,0,0,0,1,0,0,0,0,0
2,0.5,0,0,1,1,1,1,0,1,1,1,1
2,0.5,1,1,0,1,1,0,1,1,0,1,1
2,0.5,0,1,0,0,0,1,0,0,0,1,0
2,0.5,1,0,1,1,0,0,1,1,0,1,0
2,0.5,1,0,0,1,1,1,1,0,0,1,0
2,0.5,1,0,1,1,1,1,1,1,0,1,0
2,0.5,0,0,1,0,0,0,0,1,0,0,0
2,0.5,1,1,1,0,1,1,0,0,1,0,1
2,0.5,1,1,0,1,1,1,1,0,1,1,0
2,0.5,1,0,0,1,0,0,1,0,1,0,0
2,0.5,0,0,0,0,0,0,0,0,0,0,0
2,0.5,1,1,1,0,1,0,0,1,0,1,0
2,0.5,0,0,0,0,1,1,1,0,0,0,0
2,0.5,0,0,1,1,0,0,1,0,1,1,0
2,0.5,0,1,0,1,0,0,1,0,1,0,0
2,0.5,0,0,1,1,1,0,1,1,1,0,0
2,0.5,1,1,1,0,0,1,0,0,0,1,1
2,0.5,1,0,0,1,0,0,1,0,0,0,0
2,0.5,0,1,1,0,0,1,1,1,0,0,0
2,0.5,0,0,0,1,0,0,1,0,0,0,0
2,0.5,1,0,0,1,1,0,1,1,0,0,0
2,0.5,0,1,1,0,0,0,0,0,0,1,0
2,0.5,0,1,0,1,1,1,1,0,1,0,0
2,0.5,0,0,0,0,1,0,1,0,0,0,0
2,0.5,0,1,1,1,1,1,1,1,1,0,0
2,0.5,1,1,1,1,0,0,0,0,1,0,1
2,0.5,0,0,1,1,0,0,1,1,0,0,0
2,0.5,0,1,0,1,0,1,0,1,0,1,0
2,0.5,0,1,0,0,1,1,1,0,1,0,0
2,0.5,0,1,1,0,0,0,0,1,1,0,1
3,0.5,1,0,1,0,0,1,0,0,1,1,0
3,0.5,0,0,1,1,1,1,1,1,1,0,0
3,0.5,0,0,1,1,0,0,1,0,1,1,1
3,0.5,1,0,1,0,0,0,0,0,1,0,1
3,0.72,1,1,1,1,0,1,1,0,1,1,0
3,0.5,1,1,1,0,1,0,1,1,0,1,1
3,0.72,1,1,1,0,1,1,1,0,0,1,0
3,0.72,1,1,1,1,1,1,1,1,1,1,1
3,0.72,1,0,1,1,1,1,1,1,1,0,1
3,0.5,0,1,1,0,1,0,1,0,1,1,1
3,0.5,1,1,0,0,0,0,0,0,0,1,1
3,0.28,1,0,0,0,0,0,0,0,0,0,0
3,0.72,1,1,0,1,1,0,0,1,1,0,0
3,0.5,1,1,0,0,1,1,0,0,1,1,1
3,0.28,0,0,1,1,1,1,0,1,1,1,0
3,0.28,0,0,0,0,0,0,0,0,0,0,0
3,0.5,1,1,1,0,1,1,0,1,1,1,1
3,0.28,1,0,0,1,1,1,1,1,0,0,1
3,0.72,1,1,1,0,1,1,1,1,0,1,1
3,0.28,0,0,0,0,0,0,0,0,0,0,0
3,0.5,1,0,0,0,1,1,0,0,0,1,1
3,0.5,0,1,1,0,1,1,0,1,1,0,1
3,0.72,1,1,1,0,1,1,0,1,0,1,1
3,0.28,0,0,0,1,0,0,1,0,0,0,0
3,0.28,0,0,1,0,0,0,0,1,0,0,0
3,0.5,0,0,0,0,1,0,1,1,1,0,0
3,0.5,1,0,1,1,0,0,1,0,1,1,1
3,0.5,0,0,0,1,1,0,1,1,1,0,0
3,0.72,0,1,0,0,0,1,1,1,0,0,0
3,0.5,0,1,0,0,0,1,0,0,0,1,0
3,0.28,0,0,0,0,0,0,0,0,1,0,0
3,0.72,1,1,0,1,1,0,0,0,1,0,0
3,0.5,0,0,0,0,1,0,1,0,0,0,0
3,0.5,1,1,0,1,1,1,0,0,1,0,1
3,0.72,1,1,1,1,1,1,1,1,1,1,1
3,0.5,0,0,1,0,0,1,0,0,0,1,0
3,0.72,1,1,1,1,1,1,1,1,1,1,1
3,0.5,1,1,0,0,0,0,0,0,0,0,0
3,0.28,1,0,0,0,0,0,0,0,0,1,0
3,0.5,0,1,1,1,1,1,0,1,0,1,1
3,0.5,0,1,0,1,1,1,1,0,1,0,0
3,0.28,0,1,0,0,0,0,0,0,1,0,0
3,0.72,1,1,1,1,0,0,1,1,1,1,1
3,0.72,0,1,1,1,1,1,1,1,1,0,1
3,0.28,0,1,0,0,0,0,0,0,0,1,0
3,0.28,1,0,0,1,1,1,1,0,0,1,0
3,0.5,0,1,1,1,0,0,1,1,1,0,0
3,0.72,1,1,0,0,1,1,0,0,1,1,1
3,0.5,1,0,0,1,0,0,1,0,0,1,0
